Especie	Lloc	CODI	Parcela	ME	Comarca	X	Y	
Pinus_uncinata	Alins	ALIBV2	1	BV	Pallars_Sobira	364774	4711011	
Pinus_uncinata	Alins	ALIBV2	2	BV	Pallars_Sobira	364412	4711090	
Pinus_uncinata	Alins	ALIBV2	3	BV	Pallars_Sobira			
Pinus_uncinata	Alins	ALIBV3	1	BV	Pallars_Sobira			
Pinus_uncinata	Alins	ALIBV3	2	BV	Pallars_Sobira	364267	4711375	
Pinus_uncinata	Alins	ALIBV3	3	BV	Pallars_Sobira			
Pinus_uncinata	Alins	ALITF8	1	TF	Pallars_Sobira			
Pinus_uncinata	Alins	ALITF8	2	TF	Pallars_Sobira	364572	4711270	
Pinus_uncinata	Alins	ALITF8	3	TF	Pallars_Sobira			
Pinus_uncinata	Alins	ALIBV1	1	BV	Pallars_Sobira	363400	4710176	
Pinus_uncinata	Alins	ALIBV1	2	BV	Pallars_Sobira	363427	4710240	
Pinus_uncinata	Alins	ALIBV1	3	BV	Pallars_Sobira	363432	4710337	
Pinus_uncinata	Alins	ALITF2	1	TF	Pallars_Sobira	365841	4710013	
Pinus_uncinata	Alins	ALITF2	2	TF	Pallars_Sobira	365944	4710029	
Pinus_uncinata	Alins	ALITF2	3	TF	Pallars_Sobira	365993	4710096	
Pinus_uncinata	Alins	ALITF4	1	TF	Pallars_Sobira	365233	4710113	
Pinus_uncinata	Alins	ALITF4	2	TF	Pallars_Sobira	365301	4710153	
Pinus_uncinata	Alins	ALITF4	3	TF	Pallars_Sobira	365408	4710147	
Pinus_uncinata	Alins	ALITF5	1	TF	Pallars_Sobira	365287	4710303	
Pinus_uncinata	Alins	ALITF5	2	TF	Pallars_Sobira	365365	4710335	
Pinus_uncinata	Alins	ALITF5	3	TF	Pallars_Sobira	365455	4710353	
Pinus_uncinata	Alins	ALITF6	1	TF	Pallars_Sobira	364640	4710589	
Pinus_uncinata	Alins	ALITF6	2	TF	Pallars_Sobira	364718	4710568	
Pinus_uncinata	Alins	ALITF6	3	TF	Pallars_Sobira	364798	4710539	
Pinus_uncinata	Alins	ALITF7	1	TF	Pallars_Sobira	365281	4710492	
Pinus_uncinata	Alins	ALITF7	2	TF	Pallars_Sobira	365351	4710478	
Pinus_uncinata	Alins	ALITF7	3	TF	Pallars_Sobira	365422	4710493	
Pinus_uncinata	Socarrats	SOCTD1	1	TD	Pallars_Sobira	363528	4719136	
Pinus_uncinata	Socarrats	SOCTD1	2	TD	Pallars_Sobira	363610	4719154	
Pinus_uncinata	Socarrats	SOCTD1	3	TD	Pallars_Sobira	363691	4719169	
Pinus_uncinata	Socarrats	SOCTD2	1	TD	Pallars_Sobira	363856	4719103	
Pinus_uncinata	Socarrats	SOCTD2	2	TD	Pallars_Sobira	363920	4719141	
Pinus_uncinata	Socarrats	SOCTD2	3	TD	Pallars_Sobira	363981	4719210	
Pinus_uncinata	Boet	BOEBV1	1	BV	Pallars_Sobira	368676	4720212	
Pinus_uncinata	Boet	BOEBV1	2	BV	Pallars_Sobira	368427	4720251	
