CODI ESTRUCTURA Especie ALT COPA PIVI DRMA DEMA LUAR ANTR PRMO TROG ERRU PHOC TUTO TUME TUPH TUVI SYBO SYAT PHBO PHCO REGU REIG AECA PACR PAAT PAMA SIEU CEFA CEBR GAGL FRCO SECI LOCU PYRA EMCA G_m2_ha ALCDOM PEUSMHA RECHERB p_G_fina p_N_fina p_G_median p_N_median p_G_gruesa p_N_gruesa Dfina Dmedia Dgruesa DT SD_maderaFMG RECARBUSTIU TOTR TOTA GENR GENA SPER SPEA UBIR UBIA GRER GREA GRIR GRIA EXCR EXCA PARR PARA SOTR SOTA EDGR EDGA CORR CORA INHR INHA EXTR EXTA HOLR HOLA DHOR DHOA NLTR NLTA
1 ALIBV1 BV Uncinata 1957.339966 1 0 1 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 6 0 0 0 3 0 4 0 0 0 0 46.4 14.3 137.93 53 16.9302675 54.60385439 26.01927972 22.69807281 57.05045278 22.69807281 510 212 212 934 172.0503802 9 9 20 4 8 5 12 0 0 3 5 1 3 2 2 2 7 2 3 2 3 2 2 5 15 3 6 2 2 2 7 2 5
2 ALIBV3 BV Uncinata 1964.30356 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 4 8 0 1 1 2 0 3 0 0 0 0 27.3 13.9 42.44 53 19.79522184 53.23590814 24.91467577 23.38204593 55.29010239 23.38204593 255 112 112 479 82.56108849 9 10 23 3 5 7 18 0 0 5 6 3 4 2 2 2 12 1 1 1 1 2 5 7 17 3 5 2 2 3 13 2 3
3 ALITF2 TF Uncinata 2046.033721 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 1 3 0 0 0 0 0 5 4 4 0 0 4.2 9.8 42.44 50 75.44434051 86.79245283 24.55565949 13.20754717 0 0 138 21 0 159 74.35724578 37 8 21 4 12 3 8 1 1 0 0 0 0 0 0 2 4 0 0 4 8 1 1 3 12 5 16 0 0 2 4 1 1
4 ALITF4 TF Uncinata 2100.349421 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 4 2 0 0 2 5.2 9 0 27 68.95615056 86.8852459 31.04384944 13.1147541 0 0 212 32 0 244 114.2861905 45 6 14 2 6 3 6 1 2 1 1 0 0 1 1 2 5 0 0 2 4 1 1 3 9 3 8 1 1 2 5 0 0
5 ALITF5 TF Uncinata 2031.079956 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 4 4 0 0 0 3.1 9.3 0 28 100 100 0 0 0 0 170 0 0 170 98.14954576 91 6 15 2 8 3 6 1 1 1 1 0 0 1 1 1 4 0 0 3 6 0 0 3 9 4 10 1 1 1 4 0 0
6 ALITF6 TF Uncinata 2071.376414 0 0 0 1 1 1 0 0 1 3 1 0 0 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 4 4 0 0 2 5.7 9.2 10.61 35 57.25518227 83.1372549 42.74481773 16.8627451 0 0 212 43 0 255 112.0669443 41 12 23 4 10 4 6 4 7 1 1 0 0 1 1 2 4 1 1 7 13 1 3 4 7 7 14 1 1 2 4 2 4
7 ALITF7 TF Uncinata 1944.226897 0 0 0 1 0 0 0 0 1 0 3 0 2 1 0 0 0 0 0 0 0 1 3 0 0 0 0 0 5 3 0 0 0 3.7 8.7 10.61 23 58.59213251 84.90566038 41.40786749 15.09433962 0 0 180 32 0 212 96.02777376 64 9 20 5 13 4 7 0 0 1 1 0 0 1 1 2 4 1 1 5 10 1 1 3 9 5 14 1 1 2 4 1 1
8 ALITF8 TF Uncinata 1933.592695 0 0 0 1 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 4 0 0 0 0 0 3 0 1 0 1 5.5 8.6 47.75 32.6 85.2724595 94.71947195 14.7275405 5.280528053 0 0 287 16 0 303 161.2792609 55.6 9 15 3 6 4 7 2 2 1 1 0 0 1 1 1 4 1 2 4 5 0 0 5 10 5 7 1 1 1 4 2 3
9 ALPTD11.1 TD Uncinata 1769.256813 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 5 0 1 0 2 0 5 9 0 1 0 32.8 17.3 10.61 75 2.579000415 9.696969697 20.79800794 35.45454545 76.62299164 54.84848485 32 117 181 330 74.74623736 11 11 28 4 16 7 12 0 0 3 4 2 3 1 1 1 5 0 0 5 13 1 1 5 14 7 19 1 1 2 6 1 2
10 ALPTD12.1 TD Uncinata 1759.921292 0 0 0 1 0 0 3 0 0 0 1 3 3 1 0 2 0 0 0 1 0 0 4 0 1 0 2 0 3 0 0 0 2 20.7 17.3 7.96 56 16.30558723 56.50118203 23.41315089 20.80378251 60.28126188 22.69503546 239 88 96 423 84.96469855 47 13 27 5 11 7 14 1 2 3 4 2 3 1 1 1 4 2 5 5 10 0 0 8 17 9 19 1 1 2 5 1 2
