         key      value
1  TOTA_mean 19.6864407
2  GENA_mean  8.0932203
3  SPEA_mean 11.1779661
4  UBIA_mean  0.4152542
5  OVNA_mean  7.1016949
6  CVNA_mean  8.8050847
7  UNNA_mean  2.4576271
8  GRNA_mean  1.3220339
9  OVFA_mean 12.3559322
10 TRFA_mean  2.6440678
11 UNFA_mean  2.0762712
12 GRFA_mean  2.6101695
13   TOTA_sd  4.4447206
14   GENA_sd  3.4959984
15   SPEA_sd  3.3579383
16   UBIA_sd  0.9275118
17   OVNA_sd  3.0812081
18   CVNA_sd  2.7339539
19   UNNA_sd  2.0197489
20   GRNA_sd  1.8530702
21   OVFA_sd  3.1771767
22   TRFA_sd  1.5220624
23   UNFA_sd  1.7548798
24   GRFA_sd  2.3535167
