"Variable"	"Model"	"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File.x"	"X"	"PotRichness"	"Basal_a"	"Basal_b"	"Densi_a"	"Densi_b"	"Quadr_a"	"Quadr_b"	"DHeig_a"	"DHeig_b"	"Cavit_a"	"Cavit_b"	"Shrub_a"	"Shrub_b"	"lambda"	"File.y"
"TOTA"	"compl_no_Cavit"	-1019.722	8	2056.765	2055.444	1.000581	0.2114842	NA	"./Results/Model Fits/TOTA_compl_no_Cavit_model.txt"	236	28.82865	1e-05	80.49195	0	1e+07	0	1e+07	29.99654	22.39073	0	1e+07	33.6316	181.292	1.329705	"./Results/Model Fits/TOTA_compl_no_Cavit_model.txt"
"SPEA"	"tetra_complete"	-503.7828	10	1029.622	1027.566	1.000299	0.400653	NA	"./Results/Model Fits/SPEA_tetra_complete_model.txt"	91	20.63961	24.72758	94.38829	0	1e+07	0	1e+07	30	16.25006	80	175.0849	1.029949e-05	193.7918	99.92408	"./Results/Model Fits/SPEA_tetra_complete_model.txt"
"GENA"	"tetra_complete"	-703.9935	10	1430.043	1427.987	0.9825634	0.1670359	NA	"./Results/Model Fits/GENA_tetra_complete_model.txt"	86	15.2	1e-05	50.56276	0	1e+07	0	1e+07	30	22.66059	1.724582e-05	86.7039	99.99373	148.7434	75.99832	"./Results/Model Fits/GENA_tetra_complete_model.txt"
"UBIA"	"bi_Basal_Cavit"	-137.6205	6	287.9978	287.241	0.9950009	0.4200692	NA	"./Results/Model Fits/UBIA_bi_Basal_Cavit_model.txt"	394	4.8	0.001205007	10.01103	0	1e+07	0	1e+07	0	1e+07	10.92299	4.500923	0	1e+07	51.44446	"./Results/Model Fits/UBIA_bi_Basal_Cavit_model.txt"
"OVNA"	"bi_Basal_DHeig"	-619.564	6	1251.885	1251.128	0.9857554	0.07969283	NA	"./Results/Model Fits/OVNA_bi_Basal_DHeig_model.txt"	378	14.4	1.000092e-05	58.46359	0	1e+07	0	1e+07	30	16.11397	0	1e+07	0	1e+07	93.73546	"./Results/Model Fits/OVNA_bi_Basal_DHeig_model.txt"
"CVNA"	"tetra_complete"	-407.2971	10	836.6503	834.5943	0.9967774	0.3165087	NA	"./Results/Model Fits/CVNA_tetra_complete_model.txt"	85	14.4	37.31627	55.84824	0	1e+07	0	1e+07	30	22.1563	79.77885	143.4935	0.0004835472	137.4357	90.99915	"./Results/Model Fits/CVNA_tetra_complete_model.txt"
"GRNA"	"bi_Basal_Cavit"	-222.762	6	458.2807	457.5239	0.9958612	0.430872	NA	"./Results/Model Fits/GRNA_bi_Basal_Cavit_model.txt"	388	7.732564	2.529002	8.384554	0	1e+07	0	1e+07	0	1e+07	12.14436	8.254	0	1e+07	68.48829	"./Results/Model Fits/GRNA_bi_Basal_Cavit_model.txt"
"UNNA"	"compl_no_Cavit"	-315.5528	8	648.4267	647.1056	0.998072	0.1321047	NA	"./Results/Model Fits/UNNA_compl_no_Cavit_model.txt"	240	7.2	0.1271751	47.91536	0	1e+07	0	1e+07	30	14.47742	0	1e+07	66.02359	55.59588	77.88182	"./Results/Model Fits/UNNA_compl_no_Cavit_model.txt"
"OVFA"	"compl_no_Cavit"	-603.7817	8	1224.884	1223.563	0.9986965	0.161176	NA	"./Results/Model Fits/OVFA_compl_no_Cavit_model.txt"	233	17.97919	1e-05	87.295	0	1e+07	0	1e+07	30	22.99901	0	1e+07	1.000007e-05	197.7457	52.34003	"./Results/Model Fits/OVFA_compl_no_Cavit_model.txt"
"TRFA"	"univaria_DHeig"	-190.129	4	388.612	388.258	0.9999606	0.3972036	NA	"./Results/Model Fits/TRFA_univaria_DHeig_model.txt"	453	5.011714	0	1e+07	0	1e+07	0	1e+07	23.28826	8.124999	0	1e+07	0	1e+07	2.654847	"./Results/Model Fits/TRFA_univaria_DHeig_model.txt"
"GRFA"	"tetra_complete"	-399.253	10	820.5621	818.5061	0.9722839	0.1025066	NA	"./Results/Model Fits/GRFA_tetra_complete_model.txt"	87	8.8	99.99688	144.1651	0	1e+07	0	1e+07	1e-05	10.35362	1e-05	32.51901	46.83289	67.47453	12.25251	"./Results/Model Fits/GRFA_tetra_complete_model.txt"
"UNFA"	"compl_no_Cavit"	-275.5233	8	568.3676	567.0465	0.9814133	0.07253829	NA	"./Results/Model Fits/UNFA_compl_no_Cavit_model.txt"	239	6.400297	1e-05	45.52871	0	1e+07	0	1e+07	30	14.17961	0	1e+07	64.10128	53.13999	96.9705	"./Results/Model Fits/UNFA_compl_no_Cavit_model.txt"
