"Variable"	"Model"	"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File.x"	"X"	"PotRichness"	"Basal_a"	"Basal_b"	"Densi_a"	"Densi_b"	"Quadr_a"	"Quadr_b"	"DHeig_a"	"DHeig_b"	"Cavit_a"	"Cavit_b"	"Shrub_a"	"Shrub_b"	"lambda"	"File.y"
"TOTA"	"penta_complete"	-983.2723	12	1993.516	1990.545	1.000674	0.2430231	NA	"./Results/Model Fits/TOTA_penta_complete_model.txt"	20	32.92228	0	1e+07	1e-05	1573.812	1.062483e-05	59.06572	30	21.67441	27.0529	125.1574	0.2769404	282.1488	9.527714	"./Results/Model Fits/TOTA_penta_complete_model.txt"
"SPEA"	"tetra_no_Cavit"	-487.9794	10	998.0149	995.9588	0.99967	0.424611	NA	"./Results/Model Fits/SPEA_tetra_no_Cavit_model.txt"	43	19.02761	0	1e+07	601.4164	1475.078	24.92197	22.17174	30	17.24875	0	1e+07	2.181978	177.6027	58.05055	"./Results/Model Fits/SPEA_tetra_no_Cavit_model.txt"
"GENA"	"penta_complete"	-673.2817	12	1373.535	1370.563	0.9960992	0.2099902	NA	"./Results/Model Fits/GENA_penta_complete_model.txt"	14	15.2	0	1e+07	1e-05	1100.522	1e-05	38.71001	29.99712	30.10294	14.67202	66.47039	99.84254	245.7051	19.87504	"./Results/Model Fits/GENA_penta_complete_model.txt"
"UBIA"	"bi_Densi_DHeig"	-137.4297	6	287.6161	286.8593	1.031764	0.423861	NA	"./Results/Model Fits/UBIA_bi_Densi_DHeig_model.txt"	274	17.98637	0	1e+07	258.7932	13.92041	0	1e+07	11.55312	1.536319	0	1e+07	0	1e+07	61.42252	"./Results/Model Fits/UBIA_bi_Densi_DHeig_model.txt"
"OVNA"	"no_Shrub_Quadr"	-579.115	8	1175.551	1174.23	0.9909592	0.1525227	NA	"./Results/Model Fits/OVNA_no_Shrub_Quadr_model.txt"	126	14.4	0	1e+07	1e-05	1096.385	0	1e+07	30	17.40666	0.0005549864	98.13952	0	1e+06	55.98544	"./Results/Model Fits/OVNA_no_Shrub_Quadr_model.txt"
"CVNA"	"penta_complete"	-392.3263	12	811.6241	808.6526	0.997844	0.3507465	NA	"./Results/Model Fits/CVNA_penta_complete_model.txt"	13	14.4	0	1e+07	755.3699	1138.164	25.22917	19.02873	30	23.22798	80	147.1625	1.132257e-05	135.8937	0.1981233	"./Results/Model Fits/CVNA_penta_complete_model.txt"
"GRNA"	"no_Shrub_DHeig"	-227.2289	8	471.7789	470.4578	1.00072	0.4086353	NA	"./Results/Model Fits/GRNA_no_Shrub_DHeig_model.txt"	112	18.24452	0	1e+07	1.249832e-05	458.8983	0.07403197	13.50202	0	1e+07	12.04197	7.625892	0	1e+07	98.88682	"./Results/Model Fits/GRNA_no_Shrub_DHeig_model.txt"
"UNNA"	"tetra_no_Cavit"	-321.1275	10	664.311	662.255	1.001708	0.1087449	NA	"./Results/Model Fits/UNNA_tetra_no_Cavit_model.txt"	48	9.941683	0	1e+07	57.5855	1271.777	1.127793e-05	26.43021	30	13.90244	0	1e+07	63.288	54.94445	79.54716	"./Results/Model Fits/UNNA_tetra_no_Cavit_model.txt"
"OVFA"	"no_Cavit_Quadr"	-583.0767	8	1183.474	1182.153	1.000468	0.1962379	NA	"./Results/Model Fits/OVFA_no_Cavit_Quadr_model.txt"	161	18.09339	0	1e+07	1e-05	1651.167	0	1e+07	30	23.6273	0	1e+07	1e-05	200.6395	1.580713	"./Results/Model Fits/OVFA_no_Cavit_Quadr_model.txt"
"TRFA"	"univaria_DHeig"	-190.129	4	388.612	388.258	0.9999606	0.3972036	NA	"./Results/Model Fits/TRFA_univaria_DHeig_model.txt"	453	5.011714	0	1e+07	0	1e+07	0	1e+07	23.28826	8.124999	0	1e+07	0	1e+07	2.654847	"./Results/Model Fits/TRFA_univaria_DHeig_model.txt"
"GRFA"	"no_Shrub_DHeig"	-384.6856	8	786.6923	785.3712	0.9604462	0.1474632	NA	"./Results/Model Fits/GRFA_no_Shrub_DHeig_model.txt"	111	8.8	0	1e+07	1e-05	804.1565	1e-05	19.08334	0	1e+07	19.49495	27.26887	0	1e+07	25.06182	"./Results/Model Fits/GRFA_no_Shrub_DHeig_model.txt"
"UNFA"	"no_Cavit_Densi"	-278.6687	8	574.6585	573.3374	0.9951046	0.05507893	NA	"./Results/Model Fits/UNFA_no_Cavit_Densi_model.txt"	179	6.4	0	1e+07	0	1e+07	0.01502328	23.9823	29.99997	16.5506	0	1e+07	62.04393	50.36752	79.10926	"./Results/Model Fits/UNFA_no_Cavit_Densi_model.txt"
