"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File"	"Variable"	"Model"
-494.7238	6	1002.204	1001.448	0.9602605	0.1165658	NA	"./Results/Model Fits/CVNA_bi_Basal_Cavit_model.txt"	"CVNA"	"bi_Basal_Cavit"
-434.4635	6	881.6838	880.9271	0.9894076	0.2543797	NA	"./Results/Model Fits/CVNA_bi_Basal_DHeig_model.txt"	"CVNA"	"bi_Basal_DHeig"
-524.4327	6	1061.622	1060.865	0.9422362	0.04862225	NA	"./Results/Model Fits/CVNA_bi_Basal_Shrub_model.txt"	"CVNA"	"bi_Basal_Shrub"
-512.2862	6	1037.329	1036.572	0.9619317	0.07640118	NA	"./Results/Model Fits/CVNA_bi_Cavit_Shrub_model.txt"	"CVNA"	"bi_Cavit_Shrub"
-497.2282	6	1007.213	1006.456	0.999235	0.1108384	NA	"./Results/Model Fits/CVNA_bi_Densi_Cavit_model.txt"	"CVNA"	"bi_Densi_Cavit"
-428.2253	6	869.2074	868.4506	0.9938712	0.2686464	NA	"./Results/Model Fits/CVNA_bi_Densi_DHeig_model.txt"	"CVNA"	"bi_Densi_DHeig"
-443.3828	6	899.5224	898.7657	0.9955426	0.2339815	NA	"./Results/Model Fits/CVNA_bi_Densi_Quadr_model.txt"	"CVNA"	"bi_Densi_Quadr"
-489.1794	6	991.1156	990.3589	0.9999664	0.1292457	NA	"./Results/Model Fits/CVNA_bi_Densi_Shrub_model.txt"	"CVNA"	"bi_Densi_Shrub"
-428.897	6	870.5507	869.794	0.9991948	0.2671103	NA	"./Results/Model Fits/CVNA_bi_DHeig_Cavit_model.txt"	"CVNA"	"bi_DHeig_Cavit"
-428.1107	6	868.9781	868.2214	0.9933114	0.2689085	NA	"./Results/Model Fits/CVNA_bi_DHeig_Shrub_model.txt"	"CVNA"	"bi_DHeig_Shrub"
-456.5265	6	925.8098	925.0531	0.9977435	0.2039221	NA	"./Results/Model Fits/CVNA_bi_Quadr_Cavit_model.txt"	"CVNA"	"bi_Quadr_Cavit"
-430.6644	6	874.0856	873.3288	0.9988641	0.2630682	NA	"./Results/Model Fits/CVNA_bi_Quadr_DHeig_model.txt"	"CVNA"	"bi_Quadr_DHeig"
-445.4545	6	903.6657	902.9089	0.9951947	0.2292437	NA	"./Results/Model Fits/CVNA_bi_Quadr_Shrub_model.txt"	"CVNA"	"bi_Quadr_Shrub"
-417.1522	8	851.6256	850.3045	0.989743	0.2939703	NA	"./Results/Model Fits/CVNA_compl_no_Cavit_model.txt"	"CVNA"	"compl_no_Cavit"
-477.4858	8	972.2926	970.9715	0.9710397	0.1559889	NA	"./Results/Model Fits/CVNA_compl_no_DHeig_model.txt"	"CVNA"	"compl_no_DHeig"
-421.2491	8	859.8193	858.4982	0.9969453	0.2846008	NA	"./Results/Model Fits/CVNA_compl_no_Shrub_model.txt"	"CVNA"	"compl_no_Shrub"
-418.5704	8	854.4619	853.1408	0.998514	0.290727	NA	"./Results/Model Fits/CVNA_no_Cavit_Densi_model.txt"	"CVNA"	"no_Cavit_Densi"
-420.832	8	858.9851	857.664	0.999838	0.2855547	NA	"./Results/Model Fits/CVNA_no_Cavit_DHeig_model.txt"	"CVNA"	"no_Cavit_DHeig"
-406.444	8	830.2091	828.888	0.9955549	0.3184597	NA	"./Results/Model Fits/CVNA_no_Cavit_Quadr_model.txt"	"CVNA"	"no_Cavit_Quadr"
-439.2581	8	895.8372	894.5161	0.9989936	0.2434147	NA	"./Results/Model Fits/CVNA_no_DHeig_Densi_model.txt"	"CVNA"	"no_DHeig_Densi"
-470.7798	8	958.8807	957.5596	0.9996557	0.1713252	NA	"./Results/Model Fits/CVNA_no_DHeig_Quadr_model.txt"	"CVNA"	"no_DHeig_Quadr"
-418.8417	8	855.0045	853.6834	0.9996531	0.2901065	NA	"./Results/Model Fits/CVNA_no_Quadr_Densi_model.txt"	"CVNA"	"no_Quadr_Densi"
-419.7016	8	856.7242	855.4031	0.9972891	0.28814	NA	"./Results/Model Fits/CVNA_no_Shrub_Cavit_model.txt"	"CVNA"	"no_Shrub_Cavit"
-420.8416	8	859.0043	857.6832	0.9928826	0.2855327	NA	"./Results/Model Fits/CVNA_no_Shrub_Densi_model.txt"	"CVNA"	"no_Shrub_Densi"
-429.8918	8	877.1046	875.7835	1.000897	0.2648352	NA	"./Results/Model Fits/CVNA_no_Shrub_DHeig_model.txt"	"CVNA"	"no_Shrub_DHeig"
-417.6323	8	852.5857	851.2646	0.9983739	0.2928724	NA	"./Results/Model Fits/CVNA_no_Shrub_Quadr_model.txt"	"CVNA"	"no_Shrub_Quadr"
-2392.575	2	4789.254	4789.149	72.15278	-4.223775	NA	"./Results/Model Fits/CVNA_null_null_null_model.txt"	"CVNA"	"null_null_null"
-392.3263	12	811.6241	808.6526	0.997844	0.3507465	NA	"./Results/Model Fits/CVNA_penta_complete_model.txt"	"CVNA"	"penta_complete"
-407.2971	10	836.6503	834.5943	0.9967774	0.3165087	NA	"./Results/Model Fits/CVNA_tetra_complete_model.txt"	"CVNA"	"tetra_complete"
-399.4295	10	820.9151	818.859	0.9896977	0.3345018	NA	"./Results/Model Fits/CVNA_tetra_no_Cavit_model.txt"	"CVNA"	"tetra_no_Cavit"
-411.509	10	845.0741	843.0181	0.9939542	0.3068761	NA	"./Results/Model Fits/CVNA_tetra_no_Densi_model.txt"	"CVNA"	"tetra_no_Densi"
-412.992	10	848.0401	845.984	0.9973197	0.3034846	NA	"./Results/Model Fits/CVNA_tetra_no_DHeig_model.txt"	"CVNA"	"tetra_no_DHeig"
-400.4642	10	822.9845	820.9285	0.9990398	0.3321353	NA	"./Results/Model Fits/CVNA_tetra_no_Quadr_model.txt"	"CVNA"	"tetra_no_Quadr"
-408.0031	10	838.0624	836.0063	0.9962242	0.314894	NA	"./Results/Model Fits/CVNA_tetra_no_Shrub_model.txt"	"CVNA"	"tetra_no_Shrub"
-585.8584	4	1180.071	1179.717	0.9252178	-0.0918568	NA	"./Results/Model Fits/CVNA_univaria_Basal_model.txt"	"CVNA"	"univaria_Basal"
-551.8029	4	1111.96	1111.606	0.9557588	-0.01397271	NA	"./Results/Model Fits/CVNA_univaria_Cavit_model.txt"	"CVNA"	"univaria_Cavit"
-584.2097	4	1176.773	1176.419	0.9578136	-0.08808633	NA	"./Results/Model Fits/CVNA_univaria_Densi_model.txt"	"CVNA"	"univaria_Densi"
-441.5044	4	891.3627	891.0087	0.9917284	0.2382775	NA	"./Results/Model Fits/CVNA_univaria_DHeig_model.txt"	"CVNA"	"univaria_DHeig"
-533.1863	4	1074.727	1074.373	0.999212	0.02860298	NA	"./Results/Model Fits/CVNA_univaria_DVari_model.txt"	"CVNA"	"univaria_DVari"
-1381.472	4	2771.297	2770.943	0.7404699	-1.911406	NA	"./Results/Model Fits/CVNA_univaria_Herba_model.txt"	"CVNA"	"univaria_Herba"
-472.3425	4	953.039	952.685	0.9847306	0.1677514	NA	"./Results/Model Fits/CVNA_univaria_Quadr_model.txt"	"CVNA"	"univaria_Quadr"
-981.9197	4	1972.193	1971.839	0.7989386	-0.9976397	NA	"./Results/Model Fits/CVNA_univaria_Shrub_model.txt"	"CVNA"	"univaria_Shrub"
-1259.927	4	2528.208	2527.854	0.7603242	-1.633436	NA	"./Results/Model Fits/CVNA_univaria_Snags_model.txt"	"CVNA"	"univaria_Snags"
-644.4148	4	1297.184	1296.83	0.8888754	-0.2257739	NA	"./Results/Model Fits/CVNA_univaria_Thick_model.txt"	"CVNA"	"univaria_Thick"
-759.3466	6	1531.45	1530.693	0.9660948	0.08961762	NA	"./Results/Model Fits/GENA_bi_Basal_Cavit_model.txt"	"GENA"	"bi_Basal_Cavit"
-731.9007	6	1476.558	1475.801	0.974276	0.1280041	NA	"./Results/Model Fits/GENA_bi_Basal_DHeig_model.txt"	"GENA"	"bi_Basal_DHeig"
-1196.413	6	2405.583	2404.826	0.8721988	-0.5216749	NA	"./Results/Model Fits/GENA_bi_Basal_Shrub_model.txt"	"GENA"	"bi_Basal_Shrub"
-1035.898	6	2084.553	2083.797	0.9196854	-0.2971749	NA	"./Results/Model Fits/GENA_bi_Cavit_Shrub_model.txt"	"GENA"	"bi_Cavit_Shrub"
-839.7645	6	1692.286	1691.529	0.9848446	-0.02285707	NA	"./Results/Model Fits/GENA_bi_Densi_Cavit_model.txt"	"GENA"	"bi_Densi_Cavit"
-835.6908	6	1684.138	1683.382	0.9932384	-0.01715947	NA	"./Results/Model Fits/GENA_bi_Densi_DHeig_model.txt"	"GENA"	"bi_Densi_DHeig"
-848.1557	6	1709.068	1708.311	0.9921394	-0.03459316	NA	"./Results/Model Fits/GENA_bi_Densi_Quadr_model.txt"	"GENA"	"bi_Densi_Quadr"
-864.1386	6	1741.034	1740.277	0.9854699	-0.0569472	NA	"./Results/Model Fits/GENA_bi_Densi_Shrub_model.txt"	"GENA"	"bi_Densi_Shrub"
-851.6059	6	1715.969	1715.212	0.9566016	-0.0394187	NA	"./Results/Model Fits/GENA_bi_DHeig_Cavit_model.txt"	"GENA"	"bi_DHeig_Cavit"
-876.2979	6	1765.353	1764.596	0.9467655	-0.07395354	NA	"./Results/Model Fits/GENA_bi_DHeig_Shrub_model.txt"	"GENA"	"bi_DHeig_Shrub"
-879.4004	6	1771.558	1770.801	0.967703	-0.07829282	NA	"./Results/Model Fits/GENA_bi_Quadr_Cavit_model.txt"	"GENA"	"bi_Quadr_Cavit"
-857.7208	6	1728.198	1727.442	0.9770494	-0.0479711	NA	"./Results/Model Fits/GENA_bi_Quadr_DHeig_model.txt"	"GENA"	"bi_Quadr_DHeig"
-901.5815	6	1815.92	1815.163	0.9317277	-0.1093159	NA	"./Results/Model Fits/GENA_bi_Quadr_Shrub_model.txt"	"GENA"	"bi_Quadr_Shrub"
-712.8667	8	1443.055	1441.733	0.9826542	0.1546256	NA	"./Results/Model Fits/GENA_compl_no_Cavit_model.txt"	"GENA"	"compl_no_Cavit"
-745.4931	8	1508.307	1506.986	0.9702466	0.1089934	NA	"./Results/Model Fits/GENA_compl_no_DHeig_model.txt"	"GENA"	"compl_no_DHeig"
-722.4416	8	1462.204	1460.883	0.9743661	0.1412339	NA	"./Results/Model Fits/GENA_compl_no_Shrub_model.txt"	"GENA"	"compl_no_Shrub"
