""	"PotRichness"	"Basal_a"	"Basal_b"	"Densi_a"	"Densi_b"	"Quadr_a"	"Quadr_b"	"DHeig_a"	"DHeig_b"	"Cavit_a"	"Cavit_b"	"Shrub_a"	"Shrub_b"	"lambda"	"File"	"Variable"	"Model"
"1"	"14.4"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"39.48519"	"./Results/Model Fits/CVNA_null_null_null_model.txt"	"CVNA"	"null_null_null"
"2"	"15.2"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"68.53419"	"./Results/Model Fits/GENA_null_null_null_model.txt"	"GENA"	"null_null_null"
"3"	"8.8"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"9.254962"	"./Results/Model Fits/GRFA_null_null_null_model.txt"	"GRFA"	"null_null_null"
"4"	"7.2"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"77.70656"	"./Results/Model Fits/GRNA_null_null_null_model.txt"	"GRNA"	"null_null_null"
"5"	"16.8"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"16.05275"	"./Results/Model Fits/OVFA_null_null_null_model.txt"	"OVFA"	"null_null_null"
"6"	"14.4"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"83.27854"	"./Results/Model Fits/OVNA_null_null_null_model.txt"	"OVNA"	"null_null_null"
"7"	"16"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"68.25222"	"./Results/Model Fits/SPEA_null_null_null_model.txt"	"SPEA"	"null_null_null"
"8"	"24"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"99.43571"	"./Results/Model Fits/TOTA_null_null_null_model.txt"	"TOTA"	"null_null_null"
"9"	"4.8"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"94.70711"	"./Results/Model Fits/TRFA_null_null_null_model.txt"	"TRFA"	"null_null_null"
"10"	"4.8"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"39.24417"	"./Results/Model Fits/UBIA_null_null_null_model.txt"	"UBIA"	"null_null_null"
"11"	"6.4"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"67.6198"	"./Results/Model Fits/UNFA_null_null_null_model.txt"	"UNFA"	"null_null_null"
"12"	"7.2"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"0"	"1e+07"	"81.75381"	"./Results/Model Fits/UNNA_null_null_null_model.txt"	"UNNA"	"null_null_null"
"13"	"14.4"	"0"	"1e+07"	"755.3699"	"1138.164"	"25.22917"	"19.02873"	"30"	"23.22798"	"80"	"147.1625"	"1.132257e-05"	"135.8937"	"0.1981233"	"./Results/Model Fits/CVNA_penta_complete_model.txt"	"CVNA"	"penta_complete"
"14"	"15.2"	"0"	"1e+07"	"1e-05"	"1100.522"	"1e-05"	"38.71001"	"29.99712"	"30.10294"	"14.67202"	"66.47039"	"99.84254"	"245.7051"	"19.87504"	"./Results/Model Fits/GENA_penta_complete_model.txt"	"GENA"	"penta_complete"
"15"	"8.800001"	"0"	"1e+07"	"1e-05"	"853.2922"	"1e-05"	"21.49659"	"29.99997"	"28.40956"	"2.804103"	"45.95313"	"61.15721"	"79.75008"	"89.14542"	"./Results/Model Fits/GRFA_penta_complete_model.txt"	"GRFA"	"penta_complete"
"16"	"16.74254"	"0"	"1e+07"	"1e-05"	"480.8711"	"2.750717"	"14.51505"	"1.159029e-05"	"14.76344"	"12.09381"	"7.679588"	"18.97785"	"530.7337"	"35.80735"	"./Results/Model Fits/GRNA_penta_complete_model.txt"	"GRNA"	"penta_complete"
"17"	"19.80828"	"0"	"1e+07"	"1e-05"	"1609.878"	"1.277124"	"86.22012"	"30"	"22.45063"	"77.54884"	"272.4789"	"1.000025e-05"	"203.9538"	"65.48478"	"./Results/Model Fits/OVFA_penta_complete_model.txt"	"OVFA"	"penta_complete"
"18"	"14.40638"	"0"	"1e+07"	"1e-05"	"1140.617"	"0.0002928306"	"77.55134"	"30"	"17.982"	"1.009191e-05"	"106.8456"	"0.8655211"	"964.0142"	"8.819177"	"./Results/Model Fits/OVNA_penta_complete_model.txt"	"OVNA"	"penta_complete"
"19"	"20.24278"	"0"	"1e+07"	"558.4116"	"1466.84"	"24.36423"	"22.87162"	"30"	"17.01091"	"79.96767"	"200.2927"	"0.000465177"	"189.6866"	"0.1503859"	"./Results/Model Fits/SPEA_penta_complete_model.txt"	"SPEA"	"penta_complete"
"20"	"32.92228"	"0"	"1e+07"	"1e-05"	"1573.812"	"1.062483e-05"	"59.06572"	"30"	"21.67441"	"27.0529"	"125.1574"	"0.2769404"	"282.1488"	"9.527714"	"./Results/Model Fits/TOTA_penta_complete_model.txt"	"TOTA"	"penta_complete"
