""	"PotRichness"	"HOa"	"HOb"	"CVa"	"CVb"	"MGa"	"MGb"	"SHa"	"SHb"	"Lambda"	"File"	"Variable"	"PDF"	"Model"
"1"	"18"	"30"	"17.30064"	"80"	"100"	"0.008479"	"199.3359"	"1.082578e-05"	"156.2339"	"54.86003"	"./Results/Model Fits/Abu2/CVNA_PIUNs_pool.full.model.txt"	"CVNA"	"PIUNs"	"full.model"
"2"	"4.000005"	"30"	"12.9997"	"77.542"	"99.36189"	"99.8265"	"126.3582"	"99.99472"	"180.2349"	"86.07333"	"./Results/Model Fits/Abu2/EXCA_PIUNs_pool.full.model.txt"	"EXCA"	"PIUNs"	"full.model"
"3"	"19"	"1e-05"	"13.77476"	"1e-05"	"52.75684"	"100"	"103.3299"	"46.71596"	"75.90922"	"24.04205"	"./Results/Model Fits/Abu2/GENA_PIUNs_pool.full.model.txt"	"GENA"	"PIUNs"	"full.model"
"4"	"11"	"1.001831e-05"	"9.494138"	"0.001207609"	"31.38564"	"39.97414"	"44.01037"	"23.36552"	"92.51069"	"98.86854"	"./Results/Model Fits/Abu2/GRFA_PIUNs_pool.full.model.txt"	"GRFA"	"PIUNs"	"full.model"
"5"	"9.044984"	"0.0004511364"	"7.724339"	"10.54388"	"10.92018"	"0.007331868"	"52.47673"	"61.64626"	"57.49182"	"16.75704"	"./Results/Model Fits/Abu2/GRNA_PIUNs_pool.full.model.txt"	"GRNA"	"PIUNs"	"full.model"
"6"	"23"	"1e-05"	"15.37199"	"1e-05"	"54.15061"	"100"	"117.096"	"47.77994"	"71.60448"	"98.09712"	"./Results/Model Fits/Abu2/NOCA_PIUNs_pool.full.model.txt"	"NOCA"	"PIUNs"	"full.model"
"7"	"24"	"30"	"18.07297"	"58.56985"	"100"	"1.000001e-05"	"152.0061"	"40.21884"	"120.8272"	"18.6446"	"./Results/Model Fits/Abu2/OVFA_PIUNs_pool.full.model.txt"	"OVFA"	"PIUNs"	"full.model"
"8"	"18"	"1.258535e-05"	"14.79656"	"1e-05"	"50.47603"	"99.99782"	"91.23527"	"0.0001265262"	"115.3954"	"33.53782"	"./Results/Model Fits/Abu2/OVNA_PIUNs_pool.full.model.txt"	"OVNA"	"PIUNs"	"full.model"
"9"	"16"	"30"	"17.2547"	"80"	"99.99978"	"0.0001992733"	"145.3324"	"1.024331e-05"	"136.9559"	"70.72451"	"./Results/Model Fits/Abu2/SECA_PIUNs_pool.full.model.txt"	"SECA"	"PIUNs"	"full.model"
"10"	"20"	"30"	"16.80721"	"45.46521"	"100"	"90.22375"	"200"	"0.0195754"	"199.4111"	"57.93464"	"./Results/Model Fits/Abu2/SPEA_PIUNs_pool.full.model.txt"	"SPEA"	"PIUNs"	"full.model"
"11"	"30.00009"	"30"	"20.30556"	"1e-05"	"99.99725"	"1.00414e-05"	"199.6205"	"49.27029"	"86.95119"	"54.68757"	"./Results/Model Fits/Abu2/TOTA_PIUNs_pool.full.model.txt"	"TOTA"	"PIUNs"	"full.model"
"12"	"4"	"30"	"13.47122"	"79.46549"	"97.76304"	"99.35078"	"125.8527"	"99.96342"	"135.9833"	"4.014746"	"./Results/Model Fits/Abu2/TRFA_PIUNs_pool.full.model.txt"	"TRFA"	"PIUNs"	"full.model"
"13"	"7.000961"	"5.787588e-05"	"7.393629"	"8.23921"	"7.67818"	"0.1525067"	"63.65349"	"0.3753093"	"116.3351"	"8.467528"	"./Results/Model Fits/Abu2/UBIA_PIUNs_pool.full.model.txt"	"UBIA"	"PIUNs"	"full.model"
"14"	"8"	"1.000006e-05"	"12.13805"	"0.2910375"	"55.08621"	"99.97838"	"74.43827"	"56.30361"	"44.35097"	"1.084443"	"./Results/Model Fits/Abu2/UNFA_PIUNs_pool.full.model.txt"	"UNFA"	"PIUNs"	"full.model"
"15"	"9.000001"	"30"	"12.29806"	"0.009897025"	"45.19674"	"2.545954e-05"	"199.1376"	"100"	"70.81981"	"0.0003814299"	"./Results/Model Fits/Abu2/UNNA_PIUNs_pool.full.model.txt"	"UNNA"	"PIUNs"	"full.model"
"16"	"18"	"0"	"1e+07"	"80"	"73.52724"	"100"	"108.0159"	"1e-05"	"102.4745"	"52.18217"	"./Results/Model Fits/Abu2/CVNA_PIUNs_pool.noho.model.txt"	"CVNA"	"PIUNs"	"noho.model"
"17"	"4.00027"	"0"	"1e+07"	"80"	"64.08332"	"99.999"	"72.63626"	"99.99936"	"84.28985"	"4.11391"	"./Results/Model Fits/Abu2/EXCA_PIUNs_pool.noho.model.txt"	"EXCA"	"PIUNs"	"noho.model"
"18"	"19.00001"	"0"	"1e+07"	"80"	"66.47387"	"1.011922e-05"	"69.61889"	"100"	"87.67064"	"0.0763374"	"./Results/Model Fits/Abu2/GENA_PIUNs_pool.noho.model.txt"	"GENA"	"PIUNs"	"noho.model"
"19"	"11"	"0"	"1e+07"	"79.99999"	"56.70233"	"1e-05"	"36.89159"	"100"	"71.13471"	"2.698803"	"./Results/Model Fits/Abu2/GRFA_PIUNs_pool.noho.model.txt"	"GRFA"	"PIUNs"	"noho.model"
"20"	"9"	"0"	"1e+07"	"10.71629"	"10.16874"	"0.537885"	"0.5736116"	"72.05048"	"36.60628"	"96.99619"	"./Results/Model Fits/Abu2/GRNA_PIUNs_pool.noho.model.txt"	"GRNA"	"PIUNs"	"noho.model"
"21"	"23"	"0"	"1e+07"	"80"	"74.85843"	"1e-05"	"76.37472"	"100"	"93.95956"	"90.31843"	"./Results/Model Fits/Abu2/NOCA_PIUNs_pool.noho.model.txt"	"NOCA"	"PIUNs"	"noho.model"
"22"	"24"	"0"	"1e+07"	"80"	"80.10729"	"100"	"141.2679"	"100"	"142.5108"	"92.33917"	"./Results/Model Fits/Abu2/OVFA_PIUNs_pool.noho.model.txt"	"OVFA"	"PIUNs"	"noho.model"
"23"	"18"	"0"	"1e+07"	"80"	"60.89377"	"0.002287784"	"71.67445"	"99.99952"	"98.06894"	"7.56277"	"./Results/Model Fits/Abu2/OVNA_PIUNs_pool.noho.model.txt"	"OVNA"	"PIUNs"	"noho.model"
"24"	"14.91194"	"0"	"1e+07"	"80.00008"	"67.06747"	"0.3640138"	"101.6481"	"0.00115265"	"95.63727"	"52.35496"	"./Results/Model Fits/Abu2/SECA_PIUNs_pool.noho.model.txt"	"SECA"	"PIUNs"	"noho.model"
"25"	"20"	"0"	"1e+07"	"80"	"88.70143"	"100"	"105.034"	"6.395001e-05"	"118.7662"	"8.341856"	"./Results/Model Fits/Abu2/SPEA_PIUNs_pool.noho.model.txt"	"SPEA"	"PIUNs"	"noho.model"
"26"	"30"	"0"	"1e+07"	"80"	"87.64408"	"1e-05"	"136.2207"	"100"	"157.136"	"23.37963"	"./Results/Model Fits/Abu2/TOTA_PIUNs_pool.noho.model.txt"	"TOTA"	"PIUNs"	"noho.model"
