""	"PotRichness"	"HOa"	"HOb"	"DWa"	"DWb"	"MGa"	"MGb"	"SHa"	"SHb"	"Lambda"	"File"	"Variable"	"PDF"	"Model"
"1"	"18"	"30"	"16.22925"	"228.0484"	"391.6592"	"99.97228"	"199.9665"	"1.167475e-05"	"139.5374"	"46.04294"	"./Results/Model Fits/Abu3/CVNA_PIUNs_pool.full.model.txt"	"CVNA"	"PIUNs"	"full.model"
"2"	"4"	"29.99773"	"15.92155"	"783.7751"	"799.9663"	"99.82161"	"106.9697"	"97.01734"	"161.1553"	"19.38391"	"./Results/Model Fits/Abu3/EXCA_PIUNs_pool.full.model.txt"	"EXCA"	"PIUNs"	"full.model"
"3"	"19"	"1.000017e-05"	"15.94725"	"767.4648"	"800"	"99.95135"	"199.973"	"59.74741"	"77.94215"	"69.71996"	"./Results/Model Fits/Abu3/GENA_PIUNs_pool.full.model.txt"	"GENA"	"PIUNs"	"full.model"
"4"	"11"	"1e-05"	"10.61629"	"800"	"799.8464"	"0.1404608"	"78.50082"	"56.48879"	"65.6267"	"14.88002"	"./Results/Model Fits/Abu3/GRFA_PIUNs_pool.full.model.txt"	"GRFA"	"PIUNs"	"full.model"
"5"	"9.000037"	"0.0001409465"	"9.759879"	"6.804622"	"7.857111"	"94.9194"	"133.1546"	"41.54348"	"121.8981"	"16.41872"	"./Results/Model Fits/Abu3/GRNA_PIUNs_pool.full.model.txt"	"GRNA"	"PIUNs"	"full.model"
"6"	"23"	"30"	"17.49599"	"1e-05"	"419.158"	"2.543743e-05"	"91.92263"	"100"	"106.4203"	"10.68027"	"./Results/Model Fits/Abu3/NOCA_PIUNs_pool.full.model.txt"	"NOCA"	"PIUNs"	"full.model"
"7"	"24"	"29.99998"	"16.60735"	"3.43362e-05"	"628.114"	"1e-05"	"181.5421"	"0.0008416713"	"190.995"	"42.31835"	"./Results/Model Fits/Abu3/OVFA_PIUNs_pool.full.model.txt"	"OVFA"	"PIUNs"	"full.model"
"8"	"18"	"1e-05"	"18.54167"	"800"	"800"	"100"	"131.6379"	"100"	"147.2424"	"57.67263"	"./Results/Model Fits/Abu3/OVNA_PIUNs_pool.full.model.txt"	"OVNA"	"PIUNs"	"full.model"
"9"	"16"	"30"	"15.6549"	"210.8493"	"331.5549"	"1.457317e-05"	"167.0166"	"1e-05"	"132.4943"	"1.752533"	"./Results/Model Fits/Abu3/SECA_PIUNs_pool.full.model.txt"	"SECA"	"PIUNs"	"full.model"
"10"	"20"	"30"	"16.45664"	"18.16602"	"799.4781"	"99.99592"	"199.9527"	"2.667931e-05"	"184.5311"	"14.3188"	"./Results/Model Fits/Abu3/SPEA_PIUNs_pool.full.model.txt"	"SPEA"	"PIUNs"	"full.model"
"11"	"30"	"1e-05"	"22.78898"	"1e-05"	"750.2881"	"100"	"129.3462"	"1e-05"	"150.698"	"2.285751"	"./Results/Model Fits/Abu3/TOTA_PIUNs_pool.full.model.txt"	"TOTA"	"PIUNs"	"full.model"
"12"	"4"	"30"	"16.2265"	"770.7455"	"799.862"	"99.75714"	"99.87987"	"94.38742"	"143.5729"	"99.99545"	"./Results/Model Fits/Abu3/TRFA_PIUNs_pool.full.model.txt"	"TRFA"	"PIUNs"	"full.model"
"13"	"7.000066"	"0.1061181"	"8.133803"	"1e-05"	"29.36382"	"27.25719"	"42.89835"	"0.03069373"	"97.55052"	"1.078311"	"./Results/Model Fits/Abu3/UBIA_PIUNs_pool.full.model.txt"	"UBIA"	"PIUNs"	"full.model"
"14"	"8.020923"	"29.99891"	"13.17429"	"0.07366913"	"114.1615"	"1.468782e-05"	"89.11187"	"99.99675"	"80.03341"	"65.17493"	"./Results/Model Fits/Abu3/UNFA_PIUNs_pool.full.model.txt"	"UNFA"	"PIUNs"	"full.model"
"15"	"9.023263"	"30"	"12.98748"	"1.000199e-05"	"114.8633"	"0.0004485055"	"194.9315"	"99.99782"	"77.05561"	"28.17708"	"./Results/Model Fits/Abu3/UNNA_PIUNs_pool.full.model.txt"	"UNNA"	"PIUNs"	"full.model"
"16"	"16.35571"	"0"	"1e+07"	"794.0604"	"799.9996"	"99.49924"	"116.4302"	"0.1687866"	"136.2001"	"7.68315"	"./Results/Model Fits/Abu3/CVNA_PIUNs_pool.noho.model.txt"	"CVNA"	"PIUNs"	"noho.model"
"17"	"4"	"0"	"1e+07"	"799.9996"	"633.0917"	"99.99999"	"78.26346"	"99.70762"	"114.1958"	"2.233675"	"./Results/Model Fits/Abu3/EXCA_PIUNs_pool.noho.model.txt"	"EXCA"	"PIUNs"	"noho.model"
"18"	"19"	"0"	"1e+07"	"1e-05"	"127.0368"	"100"	"82.55782"	"100"	"71.90829"	"0.6610122"	"./Results/Model Fits/Abu3/GENA_PIUNs_pool.noho.model.txt"	"GENA"	"PIUNs"	"noho.model"
"19"	"11"	"0"	"1e+07"	"799.9542"	"576.4832"	"1.000624e-05"	"42.00735"	"99.99984"	"74.52808"	"2.191366"	"./Results/Model Fits/Abu3/GRFA_PIUNs_pool.noho.model.txt"	"GRFA"	"PIUNs"	"noho.model"
"20"	"9"	"0"	"1e+07"	"5.764677"	"3.959352"	"1e-05"	"65.01695"	"99.97383"	"83.31609"	"84.08758"	"./Results/Model Fits/Abu3/GRNA_PIUNs_pool.noho.model.txt"	"GRNA"	"PIUNs"	"noho.model"
"21"	"21.34262"	"0"	"1e+07"	"798.7584"	"799.1619"	"1.000005e-05"	"106.4843"	"99.7531"	"103.7164"	"99.4994"	"./Results/Model Fits/Abu3/NOCA_PIUNs_pool.noho.model.txt"	"NOCA"	"PIUNs"	"noho.model"
"22"	"24.00002"	"0"	"1e+07"	"800"	"800"	"100"	"162.8493"	"41.05431"	"76.3383"	"78.49002"	"./Results/Model Fits/Abu3/OVFA_PIUNs_pool.noho.model.txt"	"OVFA"	"PIUNs"	"noho.model"
"23"	"15.09026"	"0"	"1e+07"	"799.9953"	"693.0631"	"0.0002459566"	"107.7622"	"95.21758"	"116.7077"	"56.63111"	"./Results/Model Fits/Abu3/OVNA_PIUNs_pool.noho.model.txt"	"OVNA"	"PIUNs"	"noho.model"
"24"	"16"	"0"	"1e+07"	"800"	"760.0912"	"100"	"109.6969"	"1.215313e-05"	"108.5967"	"26.08474"	"./Results/Model Fits/Abu3/SECA_PIUNs_pool.noho.model.txt"	"SECA"	"PIUNs"	"noho.model"
"25"	"20"	"0"	"1e+07"	"726.1642"	"799.9936"	"99.99995"	"109.7968"	"35.49746"	"80.19498"	"0.03692648"	"./Results/Model Fits/Abu3/SPEA_PIUNs_pool.noho.model.txt"	"SPEA"	"PIUNs"	"noho.model"
