""	"PotRichness"	"HOa"	"HOb"	"CVa"	"CVb"	"BAa"	"BAb"	"SHa"	"SHb"	"Lambda"	"File"	"Variable"	"PDF"	"Model"
"1"	"18"	"30"	"17.70264"	"79.99511"	"99.88641"	"24.34325"	"75.8904"	"0.006007843"	"145.7886"	"88.26674"	"./Results/Model Fits/Abun/CVNA_PIUNs_pool.full.model.txt"	"CVNA"	"PIUNs"	"full.model"
"2"	"4.000002"	"30"	"12.53721"	"79.74882"	"96.92067"	"0.2783605"	"109.1578"	"99.62782"	"199.9999"	"8.187545"	"./Results/Model Fits/Abun/EXCA_PIUNs_pool.full.model.txt"	"EXCA"	"PIUNs"	"full.model"
"3"	"19"	"29.99999"	"16.57077"	"0.01151757"	"83.97963"	"1.000061e-05"	"49.21415"	"100"	"129.3747"	"98.20787"	"./Results/Model Fits/Abun/GENA_PIUNs_pool.full.model.txt"	"GENA"	"PIUNs"	"full.model"
"4"	"11"	"1e-05"	"9.852933"	"1.024359e-05"	"29.87416"	"99.98706"	"104.9826"	"46.06672"	"65.25038"	"23.77224"	"./Results/Model Fits/Abun/GRFA_PIUNs_pool.full.model.txt"	"GRFA"	"PIUNs"	"full.model"
"5"	"9.00138"	"29.14732"	"79.72624"	"12.24369"	"8.064545"	"1.450915e-05"	"9.778307"	"78.91836"	"188.4289"	"0.02806675"	"./Results/Model Fits/Abun/GRNA_PIUNs_pool.full.model.txt"	"GRNA"	"PIUNs"	"full.model"
"6"	"23"	"30"	"18.56122"	"0.003173698"	"100"	"1.001498e-05"	"50.78172"	"99.99989"	"146.9648"	"32.43943"	"./Results/Model Fits/Abun/NOCA_PIUNs_pool.full.model.txt"	"NOCA"	"PIUNs"	"full.model"
"7"	"24"	"30"	"19.19369"	"51.78839"	"99.9999"	"1e-05"	"83.85439"	"0.00966776"	"199.9997"	"96.21173"	"./Results/Model Fits/Abun/OVFA_PIUNs_pool.full.model.txt"	"OVFA"	"PIUNs"	"full.model"
"8"	"18.00002"	"30"	"14.34693"	"0.000315481"	"100"	"1.008259e-05"	"57.02285"	"99.99996"	"175.9498"	"79.44007"	"./Results/Model Fits/Abun/OVNA_PIUNs_pool.full.model.txt"	"OVNA"	"PIUNs"	"full.model"
"9"	"16"	"30"	"17.63373"	"79.99999"	"100"	"1e-05"	"111.7414"	"1.391283e-05"	"130.1465"	"57.14662"	"./Results/Model Fits/Abun/SECA_PIUNs_pool.full.model.txt"	"SECA"	"PIUNs"	"full.model"
"10"	"20.45156"	"30"	"16.64332"	"54.17056"	"100"	"18.92599"	"105.7555"	"0.2958166"	"197.9898"	"96.99619"	"./Results/Model Fits/Abun/SPEA_PIUNs_pool.full.model.txt"	"SPEA"	"PIUNs"	"full.model"
"11"	"30"	"30"	"22.20244"	"32.53732"	"100"	"5.858896e-05"	"77.17226"	"28.49328"	"200"	"48.87694"	"./Results/Model Fits/Abun/TOTA_PIUNs_pool.full.model.txt"	"TOTA"	"PIUNs"	"full.model"
"12"	"4"	"30"	"12.69585"	"79.5423"	"99.77205"	"0.3962594"	"104.6655"	"96.46886"	"159.0759"	"85.92432"	"./Results/Model Fits/Abun/TRFA_PIUNs_pool.full.model.txt"	"TRFA"	"PIUNs"	"full.model"
"13"	"7.00028"	"29.99945"	"31.13262"	"13.4435"	"9.591513"	"1.000084e-05"	"9.94093"	"37.31405"	"187.9662"	"90.81114"	"./Results/Model Fits/Abun/UBIA_PIUNs_pool.full.model.txt"	"UBIA"	"PIUNs"	"full.model"
"14"	"8"	"30"	"12.68938"	"2.642985e-05"	"47.54484"	"1.000051e-05"	"45.43795"	"64.52815"	"53.16395"	"67.64865"	"./Results/Model Fits/Abun/UNFA_PIUNs_pool.full.model.txt"	"UNFA"	"PIUNs"	"full.model"
"15"	"9"	"30"	"12.89073"	"0.02225017"	"65.59768"	"1e-05"	"46.95437"	"69.29598"	"54.247"	"3.728406"	"./Results/Model Fits/Abun/UNNA_PIUNs_pool.full.model.txt"	"UNNA"	"PIUNs"	"full.model"
"16"	"18"	"0"	"1e+07"	"80"	"68.56071"	"32.1785"	"37.25831"	"1e-05"	"94.58642"	"51.26127"	"./Results/Model Fits/Abun/CVNA_PIUNs_pool.noho.model.txt"	"CVNA"	"PIUNs"	"noho.model"
"17"	"4"	"0"	"1e+07"	"79.76384"	"65.9647"	"99.99999"	"74.69738"	"99.99364"	"81.8623"	"68.63614"	"./Results/Model Fits/Abun/EXCA_PIUNs_pool.noho.model.txt"	"EXCA"	"PIUNs"	"noho.model"
"18"	"19"	"0"	"1e+07"	"80"	"66.82067"	"1.131053e-05"	"45.10824"	"99.99998"	"131.5988"	"27.62608"	"./Results/Model Fits/Abun/GENA_PIUNs_pool.noho.model.txt"	"GENA"	"PIUNs"	"noho.model"
"19"	"11"	"0"	"1e+07"	"80"	"60.3911"	"0.0002396208"	"24.70278"	"99.99997"	"93.84188"	"99.90632"	"./Results/Model Fits/Abun/GRFA_PIUNs_pool.noho.model.txt"	"GRFA"	"PIUNs"	"noho.model"
"20"	"9.003741"	"0"	"1e+07"	"12.12284"	"7.851639"	"0.003377293"	"9.803865"	"99.26129"	"199.3121"	"88.46638"	"./Results/Model Fits/Abun/GRNA_PIUNs_pool.noho.model.txt"	"GRNA"	"PIUNs"	"noho.model"
"21"	"23"	"0"	"1e+07"	"79.99999"	"76.21357"	"1e-05"	"47.3212"	"100"	"143.3415"	"0.8461983"	"./Results/Model Fits/Abun/NOCA_PIUNs_pool.noho.model.txt"	"NOCA"	"PIUNs"	"noho.model"
"22"	"24"	"0"	"1e+07"	"80"	"78.63814"	"1e-05"	"74.72244"	"1e-05"	"119.9886"	"94.74157"	"./Results/Model Fits/Abun/OVFA_PIUNs_pool.noho.model.txt"	"OVFA"	"PIUNs"	"noho.model"
"23"	"18"	"0"	"1e+07"	"80"	"62.92859"	"1e-05"	"45.91778"	"1.012254e-05"	"114.638"	"58.42124"	"./Results/Model Fits/Abun/OVNA_PIUNs_pool.noho.model.txt"	"OVNA"	"PIUNs"	"noho.model"
